"Part No","Part Desc","HSN Code","USD EXW","",""
"44050-71070","ACTUATOR ASSY, BRAKE","8708","1657.19","",""
"44200-0K060","LINK ASY,PWR STRG","8708","382.07","",""
"44200-0K160","LINK ASSY, POWER STE","8708","1001.71","",""
"44200-0K250","LINK ASSY,POWER STEE","8708","370.95","",""
"44200-0K410","LINK ASSY, POWER STE","8708","382.07","",""
"44200-0K470","LINK ASSY, POWER STE","8708","1027.83","",""
"44200-0K880","LINK,POWER STEERING","8708","1027.83","",""
"44200-13011","LINK, POWER STEERING","8708","1140.30","",""
"44200-33500","LINK,POWER STEERING","8708","990.04","",""
"44201-38050","VALVE SUB ASSY,POWER","8708","191.61","",""
"44204-38090","RACK SUB ASSY,POWER","8708","129.68","",""
"44205-0B010","STOPPER SUB ASSY, CY","8708","23.77","",""
"44218-0B010","GASKET, VALVE HOUSIN","8708","0.55","",""
"44250-02170","GEAR A/S,PWR STEERG","8708","875.05","",""
"44250-0B030","GEAR ASSY,POWER STEE","8708","802.83","",""
"44250-0B032","GEAR ASSY,POWER STEE","8708","634.87","",""
"44250-0K590","GEAR,POWER STEERING","8708","963.55","",""
"44250-0K610","GEAR POWER STEERING","8708","335.34","",""
"44250-13021","GEAR ASSY, POWER","8708","1140.30","",""
"44275-0B010","STOPPER,CYLINDER END","8708","3.06","",""
"44303-06040","SHAFT SUB-ASSY, W/RO","8708","66.94","",""
"44305-0K041","CAP SUB-ASSY, RESERV","8708","12.62","",""
"44305-0K042","CAP SUB-ASSY, RESERV","8708","12.58","",""
"44305-35020","CAP SUB-ASSY,","8708","21.77","",""
"44310-0K020","PUMP ASSY, VANE","8708","525.95","",""
"44310-0K120","PUMP ASSY VANE","8708","525.95","",""
"44311-35050","PULLEY, VANE PUMP","8708","131.13","",""
"44319-35030","PULLEY, VANE PUMP","8708","51.63","",""
"44320-02060","PUMP A/S,L/PULLEY","8708","218.02","",""
"44320-0B020","PUMP ASSY,L/PULLEY","8708","259.60","",""
"44327-12010","GASKET","8708","1.55","",""
"44327-30030","GASKET, PRESSURE","8708","1.55","",""
"44338-71010","UNION, PRESSURE PORT","8708","27.72","",""
"44348-0B020","HOSE,OIL RSVR-PUMP","8708","19.00","",""
"44348-0K010","HOSE, OIL RESERVOIR","8708","37.23","",""
"44348-0K050","HOSE, OIL RESERVOIR","8708","42.08","",""
"44348-0K100","HOSE OIL RESERVOIR","8708","20.76","",""
"44348-33230","HOSE, OIL RESERVOIR","8708","46.35","",""
"44350-60021","PULLEY ASSY, POWER","8708","155.47","",""
"44360-0K010","RESERVOIR ASSY, OIL","8708","121.71","",""
"44360-0K011","RESERVOIR ASSY, OIL","8708","121.71","",""
"44360-0K040","RESERVOIR ASSY, OIL","8708","121.71","",""
"44360-0K041","RESERVOIR ASSY, OIL","8708","121.71","",""
"44360-0K050","RESERVOIR ASSY OIL","8708","121.53","",""
"44360-38040","RESERVOIR ASSY, OIL","8708","206.16","",""
"44369-0K020","BRACKET, OIL RESERVO","8708","20.49","",""
"44369-38040","BRACKET, OIL","8708","44.27","",""
"44390-0K010","BRACKET OIL RESERVE","8708","10.27","",""
"44406-33080","TUBE SUB-ASSY,","8708","73.12","",""
"44406-33121","TUBE SUB-ASSY,","8708","66.37","",""
"44410-02090","TUBE A/S,PRESSR FEED","8708","92.76","",""
"44410-0K010","TUBE ASSY, PRESSURE","8708","248.97","",""
"44410-0K050","TUBE ASSY, PRESSURE","8708","251.97","",""
"44410-0K120","TUBE ASSY, PRESSURE","8708","251.97","",""
"44410-0K170","TUBE ASSY, PRESSURE","8708","267.49","",""
"44410-0K200","TUBE ASSY PRESSURE","8708","265.56","",""
"44410-0K270","TUBE ASSY PRESSURE","8708","265.56","",""
"44410-33202","TUBE ASSY, PRESSURE","8708","137.98","",""
"44410-60681","TUBE ASSY, PRESSURE","8708","250.90","",""
"44411-0B060","HOSE,PRESSURE FEED","8708","78.24","",""
"44412-38150","HOSE, RETURN","8708","43.48","",""
"44416-02040","TUBE,RETURN","8708","10.75","",""
"44416-0K010","TUBE, RETURN","8708","10.75","",""
"44416-33140","TUBE, RETURN","8708","58.29","",""
"44416-33161","TUBE, RETURN","8708","53.06","",""
"44416-38130","TUBE, RETURN","8708","26.50","",""
"44418-0B010","TUBE, RH TURN PRESSU","8708","5.54","",""
"44418-0K210","TUBE RH TURN","8708","17.71","",""
"44419-0B010","TUBE, LH TURN PRESSU","8708","6.40","",""
"44441-35040","BRACKET, PUMP, FR","8708","34.02","",""
"44545-12010","HOLDER, BRAKE","8708","3.00","",""
"44546-60060","CUSHION, BRAKE","8708","1.55","",""
"44590-02020","BRACKET ASSY, BRAKE","8708","26.15","",""
"44590-02050","BRACKET ASY BRAK ACT","8708","26.15","",""
"44590-02080","BRACKET ASSY,","8708","26.15","",""
"44590-02250","BRACKET ASSY, BRAKE","8708","11.65","",""
"44590-02280","BRACKET ASSY, BRAKE","8708","16.00","",""
"44590-0D560","BRACKET ASSY BRAKE","8708","8.46","",""
"44590-0K090","BRACKET ASSY BRAKE","8708","19.25","",""
"44591-0K020","BRACKET, BRAKE ACTUA","8708","10.37","",""
"44610-02220","BOOSTER ASSY BRAKE","8708","237.58","",""
"44610-09300","BOOSTER SET, BRAKE","8708","74.39","",""
"44610-09301","BOOSTER SET,BRAKE","8708","73.63","",""
"44610-09460","BOOSTER SET, BRAKE","8708","392.34","",""
"44610-09580","BOOSTER ASSY,BRAKE","8708","257.00","",""
"44610-09790","BOOSTER SET, BRAKE","8708","210.63","",""
"44610-09800","BOOSTER SET, BRAKE","8708","221.84","",""
"44610-0K090","BOOSTER ASSY, BRAKE","8708","60.43","",""
"44610-0K100","BOOSTER ASSY, BRAKE","8708","74.39","",""
"44610-0K180","BOOSTER ASSY, BRAKE","8708","423.29","",""
"44610-0K530","BOOSTER ASSY BRAKE","8708","81.47","",""
"44610-12A00","BOOSTER ASSY, BRAKE","8708","491.66","",""
"44610-38080","BOOSTER ASSY, BRAKE","8708","649.18","",""
"44730-35010","VALVE ASSY, VACUUM","8708","30.79","",""
"44763-0K010","TUBE, HOSE TO HOSE","8708","4.87","",""
"44763-0K020","TUBE, HOSE TO HOSE","8708","4.87","",""
"44763-0K050","TUBE HOSE TO HOSE","8708","4.75","",""
"44771-0K010","HOSE, VACUUM TUBE CO","8708","11.18","",""
"44771-0K011","HOSE, VACUUM TUBE","8708","11.18","",""
"44772-0K010","HOSE, CHECK VALVE TO","8708","10.34","",""
"44772-0K020","HOSE, CHECK VAL TO C","8708","9.37","",""
"44773-38120","HOSE, UNION TO CHECK","8708","36.94","",""
"44773-52200","HOSE, UNION TO CHECK","8708","11.74","",""
"44774-0K020","HOSE, UNION TO CONNE","8708","11.18","",""
"44774-0K021","HOSE,UNION TO TUBE","8708","11.18","",""
"44785-12040","GASKET, BRAKE","8708","2.43","",""
"44785-17010","GASKET, BRAKE","8708","1.71","",""
"45020-0K201","ACTUATOR,STEERING","8708","184.05","",""
"45020-42150","ACTUATOR ASSY,","8708","177.08","",""
"45025-0B020","COVER SUB ASSY,STEER","8708","23.25","",""
"45025-0D120","COVER SUB-ASSY, STEE","8708","17.45","",""
"45025-0K010","COVER S-A STR  HOLE","8708","21.52","",""
"45025-0K030","COVER SUB-ASSY, STEE","8708","21.52","",""
"45025-13020","COVER SUB-ASSY,","8708","40.86","",""
"45046-09110","END SUB ASSY, TIE RO","8708","14.59","",""
"45046-09160","END S/A,TIE ROD,RH","8708","59.98","",""
"45046-09281","END SUB-ASSY, TIE RO","8708","39.99","",""
"45046-09320","END SUB-ASSY, TIE RO","8708","18.00","",""
"45046-09620","END SUB-ASSY, TIE RO","8708","48.40","",""
"45046-09680","END SUB ASSY, TIE RO","8708","27.25","",""
"45046-09681","END SET, TIE ROD","8708","27.25","",""
"45046-09830","END SET TIE ROD","8708","17.81","",""
"45046-09850","END SET,TIE ROD","8708","39.60","",""
"45046-0B010","END SUB ASSY TIE ROD","8708","12.93","",""
"45046-29456","END SUB-ASSY, TIE","8708","43.93","",""
"45046-39335","END SUB-ASSY, TIE","8708","58.45","",""
"45046-39505","END SUB-ASSY,TIE","8708","48.40","",""
"45046-49115","END SUB-ASSY, TIE","8708","59.98","",""
"45046-69205","END SUB-ASSY, TIE","8708","52.70","",""
"45046-69245","END SUB-ASSY, TIE","8708","43.72","",""
"45047-09050","END ASSY,TIE ROD N02","8708","34.83","",""
"45047-09340","END SUB ASSY,TIE ROD","8708","27.25","",""
"45047-09341","END SET, TIE ROD, NO","8708","27.25","",""
"45047-39215","END SUB-ASSY, TIE","8708","58.45","",""
"45047-49045","END SUB-ASSY, TIE","8708","59.88","",""
"45047-69115","END SUB-ASSY TIE ROD","8708","52.70","",""
"45047-69146","END SET, TIE ROD,","8708","48.40","",""
"45100-02090-E0","WHEEL A/S,STEERING","8708","80.59","",""
"45100-02U20-B0","WHEEL ASSY, STEERING","8708","1051.72","",""
"45100-02X80-C0","WHEEL ASSY, STEERING","8708","828.43","",""
"45100-02X90-C0","WHEEL ASSY STEERING","8708","359.34","",""
"45100-0B050","WHEEL ASSY, STEERING","8708","83.82","",""
"45100-0B050-B0","WHEEL ASSY,STEERING","8708","83.82","",""
"45100-0D380-C0","WHEEL ASSY, STEERING","8708","130.65","",""
"45100-0D380-E0","WHEEL ASSY, STEERING","8708","130.65","",""
"45100-0D390-E0","WHEEL STEERING","8708","243.00","",""
"45100-0D450-C0","WHEEL ASSY,STEERING","8708","657.38","",""
"45100-0D450-E0","WHEELASSY,STEERING","8708","723.00","",""
"45100-0K020-E0","WHEEL ASSY, STEERING","8708","441.76","",""
"45100-0K161-E1","WHEEL ASSY, STEERING","8708","1070.20","",""
"45100-0K210-E0","WHEEL ASSY STEERING","8708","80.59","",""
"45100-0K320-E0","WHEEL ASSY, STEERING","8708","552.66","",""
"45100-0K340-E1","WHEEL ASY, STEERING","8708","80.23","",""
"45100-0K760-E0","WHEEL ASSY, STEERING","8708","1112.72","",""
"45100-0K770-E0","WHEEL ASSY, STEERING","8708","1260.59","",""
"45100-0KB40-E0","WHEEL ASSY,STEERING","8708","319.39","",""
"45100-0KB50-E0","WHEEL ASSY,STEERING","8708","1011.43","",""
"45100-0KC10-C0","WHEEL ASSY,STEERING","8708","399.24","",""
"45100-0KE30-C0","WHEEL ASSY STEERING","8708","107.79","",""
"45100-0KE40-C0","WHEEL ASSY STEERING","8708","248.54","",""
"45100-0KE40-C1","WHEEL ASSY STEERING","8708","248.54","",""
"45100-0KE40-C5","WHEEL ASSY,STEERING","8708","828.43","",""
"45100-0KJ61-C0","WHEEL ASSY, STEERING","8708","1112.72","",""
"45100-0KJ70-C0","WHEEL ASSY, STEERING","8708","1260.59","",""
"45100-0KJ71-C0","WHEEL ASSY, STEERING","8708","1260.59","",""
"45100-0KK90-E0","WHEEL ASSY, STEERING","8708","319.39","",""
"45100-0KL00-C0","WHEEL ASSY,STEERING","8708","890.16","",""
"45100-0KL00-E0","WHEEL ASSY, STEERING","8708","890.16","",""
"45100-0KR00-C0","WHEEL ASSY,STEERING","8708","911.63","",""
"45105-0B040","PLATE SUB ASSY, HORN","8708","14.02","",""
"45107-06040","WIRE SUB-ASSY, HORN","8544","4.60","",""
"45107-48010","WIRE SUB-ASSY, HORN","8708","1.48","",""
"45116-0K020","ORNAMENT,STEERING","8708","16.16","",""
"45116-68060","ORNAMENT,STEERINGWHE","8708","15.60","",""
"45117-0K020","ORNAMENT,STEERING","8708","16.16","",""
"45130-02250-E0","PAD A/S,STEERING WL","8708","300.42","",""
"45130-02300-E0","PAD ASSY,STRG WHEEL","8708","204.26","",""
"45130-02440-B0","PAD ASSY, STEERING W","8708","689.72","",""
"45130-02440-E0","PAD ASSY, STEERING W","8708","759.35","",""
"45130-02680-C0","PAD ASSY, STEERING","8708","688.07","",""
"45130-06120-E0","BUTTON ASSY, HORN","8708","55.10","",""
"45130-0B040","STEERING WHEEL PAD","8708","26.89","",""
"45130-0B040-B0","PAD ASSY STEERING WH","8708","26.89","",""
"45130-0B041","PAD ASY,STRG WHEEL","8708","14.59","",""
"45130-0B041-E1","PAD ASSY, STEERING W","8708","58.60","",""
"45130-0D280-C0","BUTTON ASSY, HORN","8708","32.54","",""
"45130-0D280-E0","BUTTON ASSY, HORN","8708","39.08","",""
"45130-0D290-C0","PAD ASSY, STEERING W","8708","80.04","",""
"45130-0D290-E0","PAD ASSY,STEERING WH","8708","80.04","",""
"45130-0D291-C0","PAD,STEERING WHEEL","8708","80.04","",""
"45130-0D291-E0","PAD,STEERING WHEEL","8708","0.00","",""
"45130-0D370-C0","PAD ASSY,STEERING WH","8708","92.50","",""
"45130-0D370-E0","PAD ASSY, STEERING W","8708","115.92","",""
"45130-0K010-E0","PAD ASSY, STEERING W","8708","691.38","",""
"45130-0K060-E1","PAD ASSY, STEERING W","8708","691.38","",""
"45130-0K100-E1","BUTTON ASSY, HORN","8708","58.60","",""
"45130-0K110-E0","PAD ASSY, STEERING W","8708","688.07","",""
"45130-0K160-C0","PAD ASSY, STEERING W","8708","688.07","",""
"45130-0K160-E0","PAD ASSY, STEERING W","8708","688.07","",""
"45130-0K221-C0","PAD STEERING WHEEL","8708","688.07","",""
"45130-0K241-C0","PAD ASSY,STEERING","8708","688.07","",""
"45180-0B040-B0","COVER SUB-ASSY, STEE","8708","10.27","",""
"45186-06090-E2","COVER, STEERING WHEE","8708","2.66","",""
"45186-06140-B0","COVER, STEERING WHEE","8708","2.66","",""
"45186-06140-C0","COVER,STEERING WHEEL,LWR NO.2","8708","2.66","",""
"45186-06140-E0","COVER, STEERING WHEE","8708","2.66","",""
"45186-06150-B0","COVER, STEERING WHEE","8708","3.49","",""
"45186-06150-C0","COVER, STEERING WHEE","8708","3.49","",""
"45186-06150-E0","COVER, STEERING WHEE","8708","3.49","",""
"45186-0D010-E0","COVER STEERING WHEEL","8708","2.14","",""
"45186-0K100-C0","COVER STEERING WHEEL","8708","3.16","",""
"45186-0K110-C0","COVER STEERING WHEEL","8708","0.90","",""
"45187-06050-E2","COVER, STEERING WHEE","8708","2.66","",""
"45187-06090-B0","COVER, STEERING WHEE","8708","4.14","",""
"45187-06090-C0","COVER, STEERING WHEE","8708","4.14","",""
"45187-06090-E0","COVER, STEERING WHEE","8708","4.14","",""
"45187-0D010-E0","COVER,STEERING WHEEL","8708","2.14","",""
"45188-60010","SCREW, STEERING","7318","1.43","",""
"45200-02150","POST ASSY STEERING","8708","126.06","",""
"45200-0B010","POST ASSY, STEERING","8708","139.71","",""
"45200-0B020","POST ASSY,STEERING","8708","144.52","",""
"45203-0B010","SHAFT SUB ASSY STEER","8708","33.90","",""
"45203-0B020","SHAFT SUB ASSY POWER","8708","33.90","",""
"45203-0K030","SHAFT SUB-ASSY, STRG","8708","149.19","",""
"45203-0K050","SHAFT SA,STRG INTRMD","8708","31.47","",""
"45203-0K070","SHAFT STRG INTERMDT","8708","31.47","",""
"45203-0K100","SHAFT SUB-ASSY, STRG","8708","139.26","",""
"45203-0K120","SHAFT SUB-ASSY, STRG","8708","27.29","",""
"45203-0K170","SHAFT INTERMEDIATE","8708","125.33","",""
"45203-0K200","SHAFT,STEERING NO.2","8708","125.33","",""
"45206-0B010","YOKE SUB ASSY,STEERI","8708","76.12","",""
"45206-0B020","YOKE SUB-ASSY,STRG","8708","78.97","",""
"45206-0K010","YOKE SUB-ASSY, STRG","8708","278.31","",""
"45206-0K020","YOKE SLIDING W-COUPL","8708","44.77","",""
"45206-0K040","YOKE SUB-ASSY, STRG","8708","229.21","",""
"45206-0K051","YOKE SUB-ASSY, STRG","8708","44.77","",""
"45206-0K052","YOKE SUB-ASSY, STRG","8708","44.77","",""
"45206-0K080","YOKE STEERING","8708","229.21","",""
"45219-0K060","YOKE STRG SLIDING","8708","5.70","",""
"45219-0K100","YOKE, STEERING SLIDI","8708","4.94","",""
"45220-33180","SHAFT ASSY, STEERING","8708","154.67","",""
"45220-33300","SHAFT ASSY, STEERING","8708","173.87","",""
"45221-02040","SHAFT,STEERG INTER","8708","124.66","",""
"45222-33010","COVER, DUST","8708","3.06","",""
"45250-02C50","COLUMN ASSY, ELECTRI","8708","867.44","",""
"45250-0D260","COLUMN ASSY, ELECTRI","8708","303.34","",""
"45250-0D651","COLUMN ASSY,ELECTRIC","8708","303.34","",""
"45250-0K010","COLUMN ASSY, STEERIN","8708","166.10","",""
"45250-0K020","COLUMN ASSY, STEERIN","8708","42.29","",""
"45250-0K090","COLUMN ASSY STEERING","8708","552.66","",""
"45250-0K100","COLUMN ASSY STEERING","8708","552.66","",""
"45255-0D090","COVER, STEERING COLU","8708","6.21","",""
"45260-02150","SHAFT ASSY, STEERING","8708","154.67","",""
"45260-0D140","SHAFT ASSY, STEERING","8708","85.63","",""
"45271-0K010","CLAMP, STEERING COLU","8708","5.61","",""
"45271-16020","CLAMP","8708","8.99","",""
"45280-0B030","BRACKET ASSY, CLM UP","8708","51.51","",""
"45280-0K010","BRACKET ASSY, STEERI","8708","121.91","",""
"45280-0K020","BRACKET ASSY, STEERI","8708","121.91","",""
"45280-0K030","BRACKET ASSY, STEERI","8708","121.91","",""
"45286-02370-B0","COVER, STEERING COLU","8708","24.77","",""
"45286-0B030-B0","COVER,STEERING COLUM","8708","8.75","",""
"45286-0D120-C0","COVER, STEERING COLU","8708","12.84","",""
"45286-0D230","COVER,STEERING COLOUMN","8708","12.84","",""
"45286-0K030-C0","COVER, STEERING COLU","8708","2.62","",""
"45286-0K030-E0","COVER STRG COLUM UPR","8708","2.62","",""
"45286-0K030-E1","COVER, STEERING COLU","8708","2.62","",""
"45286-0K050-C0","COVER STEERING UPR","8708","3.00","",""
"45287-02150-E0","COVER STEERING COLUM","8708","8.68","",""
"45287-02360-B0","COVER, STEERING COLU","8708","38.66","",""
"45287-0B030-B0","COVER,STEERING COLUM","8708","11.62","",""
"45287-0D100-C0","COVER, STEERING COLU","8708","19.59","",""
"45287-0D190","COVER,STEERING COLOUMN","8708","19.59","",""
"45287-0K030-C0","COVER, STEERING COLU","8708","3.71","",""
"45287-0K030-E0","COVER STRG COLUM LWR","8708","3.92","",""
"45287-0K030-E1","COVER, STEERING COLU","8708","3.92","",""
"45287-0K080-C0","COVER STEERING LWR","8708","6.11","",""
"45460-39615","ROD ASSY,TIE,RH","8708","66.33","",""
"45460-39635","ROD ASSY,TIE,RH","8708","61.17","",""
"45470-39215","ROD ASSY,TIE,LH","8708","66.33","",""
"45470-39225","ROD ASSY,TIE,LH","8708","61.17","",""
"45500-0K060","LINK ASSY. STEERING","8708","201.76","",""
"45501-0B040","HOUSING SUB ASSY, ST","8708","126.95","",""
"45503-09150","END SUB-ASSY,STEERING","8708","17.47","",""
"45503-09160","END SUB-ASSY,MANUAL","8708","17.81","",""
"45503-09220","END S/A,STEERING RK","8708","100.53","",""
"45503-09321","END SUB-ASSY, STEERI","8708","99.47","",""
"45503-09350","END SUB-ASSY, STEERI","8708","14.59","",""
"45503-0B030","END SUB ASSY,STEERIN","8708","17.43","",""
"45503-0D040","END SUB ASSY,STEERIN","8708","38.09","",""
"45503-0D041","END SUB-ASSY, STEERI","8708","38.09","",""
"45503-0K080","END STEERING RACK","8708","99.23","",""
"45503-0K120","END STEERING RACK","8708","96.64","",""
"45503-19255","END SUB-ASSY,","8708","100.53","",""
"45503-19256","END SET, STEERING","8708","100.53","",""
"45503-29836","END SUB-ASSY,","8708","89.17","",""
"45503-39075","END","8708","102.32","",""
"45503-39225","END SUB-ASSY,","8708","92.29","",""
"45503-39265","END SUB-ASSY,","8708","88.20","",""
"45503-39275","END SUB-ASSY,","8708","84.75","",""
"45503-60030","END SUB-ASSY,","8708","152.38","",""
"45503-60040","END SUB-ASSY,","8708","99.23","",""
"45503-69015","END","8708","134.31","",""
"45503-69025","END","8708","128.89","",""
"45504-0B060","GUIDE SUB-ASSY,RACK","8708","11.69","",""
"45504-33010","GUIDE,RACK STEERING","8708","9.99","",""
"45504-35020","GUIDE,RACK STEERING","8708","11.69","",""
"45509-0B040","PINION SUB ASSY,STEE","8708","24.04","",""
"45510-02210","GEAR ASY, STEERING","8708","511.66","",""
"45510-0B030","GEAR ASSY,STEERING","8708","232.19","",""
"45510-0B031","GEAR ASSY,STEERING","8708","232.19","",""
"45510-0D313","GEAR ASSY, STEERING","8708","385.36","",""
"45510-0D314","GEAR ASSY,STEERING","8708","396.93","",""
"45514-38040","BRACKET, STEERING","8708","39.98","",""
"45515-38050","BRACKET, STEERING","8708","20.68","",""
"45516-27040","GROMMET, STEERING","8708","22.13","",""
"45517-27030","GROMMET, STEERING","8708","36.75","",""
"45517-38070","GROMMET, STEERING","8708","24.11","",""
"45521-0B040","RACK,STEERING","8708","26.86","",""
"45522-0B020","BUSH,POWER STEERING","8708","10.30","",""
"45522-27010","BUSH,MANUAL STEERING","8708","8.77","",""
"45524-0B010","CAP,RACK GUIDE SPRIN","8708","1.83","",""
"45535-02030-MA","BOOT,STEER RACK,NO1","8708","24.51","",""
"45535-09230","BOOT SET, STEERING R","8708","6.25","",""
"45535-09460","BOOT SET STEERING","8708","12.69","",""
"45535-09470","BOOT SET,STEERING","8708","12.65","",""
"45535-0K010","BOOT, STEERING RACK,","8708","12.79","",""
"45535-13010","BOOT, STEERING RACK,","8708","11.01","",""
"45535-27040","BOOT,STEERING RACK","8708","7.92","",""
"45535-33030","BOOT, STEERING RACK,","8708","9.32","",""
"45535-33050","BOOT, STEERING RACK,","8708","8.56","",""
"45535-35030","BOOT, STEERING RACK,","8708","13.88","",""
"45535-38010","BOOT,STEERING RACK","8708","9.39","",""
"45535-60010","BOOT, STEERING RACK,","8708","13.88","",""
"45535-69015","BOOT, STEERING RACK,","8708","12.74","",""
"45536-0B010","BOOT,STEERING RACK","8708","10.05","",""
"45536-0K010","BOOT, STEERING RACK,","8708","12.79","",""
"45536-27030","BOOT,STEERING RACK","8708","8.20","",""
"45538-0D050","CLAMP, STEERING RACK","8708","1.59","",""
"45538-0K010","CLAMP, STEERING RACK","8708","2.36","",""
"45538-0K030","CLAMP RACK BOOT","8708","2.50","",""
"45611-0B010","ARM, STEERING KNUCKL","8708","30.78","",""
"45612-0B010","ARM, STEERING KNUCKL","8708","30.78","",""
"45619-14020","COVER","8708","4.33","",""
"45879-0D010","CAPSULE, BREAK AWAY","8708","2.64","",""
"45897-0K010","BOLT, STEERING LOCK","7318","2.61","",""
"45897-12020","BOLT","7318","1.99","",""
"46103-0B010","GUIDE SUB ASSY, PARK","8708","13.22","",""
"46103-0B011","GUIDE SUB-ASSY PRKING","8708","13.22","",""
"46114-20010","PIN","8708","3.61","",""
"46120-27040","PLUNGER ASSY,","8708","70.49","",""
"46144-20010","ANTIRATTLE","8708","2.87","",""
"46201-0D160-C0","LEVER SUB ASSY,PARK","8708","22.94","",""
"46201-0K020-A0","LEVER S-A PARK BRAK","8708","22.21","",""
"46201-12380-E0","LEVER SUB-ASSY,","8708","44.86","",""
"46210-T9010","LEVER ASSY PARKING","8708","14.93","",""
"46304-0K010","EQUALIZER SUB-ASSY,","8708","3.78","",""
"46304-0K030","EQUALIZER SUB-ASSY,","8708","14.26","",""
"46313-40010","PIN","8708","5.94","",""
"46320-0B010","LEVER ASSY,PRKG BRK","8708","28.65","",""
"46410-02060","CABLE A/S,PARKG BRK","8708","11.60","",""
"46410-0B071","CABLE ASSY,PARKING","8708","11.15","",""
"46410-0K030","CABLE ASSY, PARKING","8708","5.83","",""
"46420-0B020","CABLE ASSY, PARKING","8708","19.71","",""
"46420-0D161","CABLE ASSY, PARKING","8708","21.39","",""
"46420-0D170","CABLE ASSY,PARKING","8708","21.08","",""
"46420-0D171","CABLE ASSY, PARKING","8708","22.08","",""
"46420-0K050","CABLE ASSY, PARKING","8708","43.34","",""
"46420-0K070","CABLE ASSY, PARKING","8708","41.03","",""
"46420-0K080","CABLE ASSY, PARKING","8708","11.03","",""
"46420-12541","CABLE ASSY, PARKING","8708","53.27","",""
"46430-0B020","CABLE ASSY, PARKING","8708","24.65","",""
"46430-0D161","CABLE ASSY, PARKING","8708","21.39","",""
"46430-0D170","CABLE ASSY,PARKING","8708","21.08","",""
"46430-0D171","CABLE ASSY, PARKING","8708","22.08","",""
"46430-0K051","CABLE ASSY, PARKING","8708","55.67","",""
"46430-0K070","CABLE ASSY, PARKING","8708","54.42","",""
"46430-0K080","CABLE ASSY, PARKING","8708","11.55","",""
"46430-12441","CABLE ASSY, PARKING","8708","51.44","",""
"46451-0K040","BRACKET, CABLE SUPPO","8708","5.83","",""
"46471-20010","PULLEY,WIRE","8708","6.27","",""
"46530-34010","SHOE ASSY, PARKING","8708","17.88","",""
"46530-60020","SHOE ASSY, PARKING","8708","17.88","",""
"46540-02070","SHOE ASSY,PARKING","8708","28.58","",""
"46540-20070","SHOE ASSY, PARKING","8708","16.38","",""
"46540-60060","SHOE ASSY, PARKING","8708","21.02","",""
"46550-02080","SHOE ASSY,PARKING","8708","34.25","",""
"46550-33020","SHOE ASSY, PARKING","8708","16.38","",""
"46550-60070","SHOE ASSY, PARKING","8708","19.50","",""
"46580-60060","SHOE ASSY, PARKING","8708","21.35","",""
"46590-02050","SHOE ASSY,PARKING","8708","34.25","",""
"46590-33020","SHOE ASSY, PARKING","8708","16.38","",""
"47043-0B030","PLATE SUB ASSY,BRAKE","8708","27.38","",""
"47043-0K040","PLATE SUB-ASSY,","8708","14.12","",""
"47043-0K050","PLATE SUB-ASSY, BRAK","8708","61.09","",""
"47044-0B030","PLATE,SUB ASSY BRAKE","8708","27.38","",""
"47044-0K040","PLATE SUB-ASSY,","8708","14.12","",""
"47044-0K050","PLATE SUB-ASSY, BRAK","8708","71.65","",""
"47050-60200","CYLINDER ASSY, BRAKE","8708","2073.89","",""
"47061-0B020","STRUT SET,PARKING BR","8708","6.90","",""
"47061-0D080","STRUT SET, PARKING","8708","9.75","",""
"47062-0B020","STRUT SET,PARKING BR","8708","6.90","",""
"47062-0D080","STRUT SET, PARKING","8708","9.75","",""
"47101-02320","PEDAL SUB-ASSY, BRAK","8708","39.39","",""
"47101-0B070","PEDAL SUB ASSY, BRAK","8708","10.05","",""
"47101-0K010","PEDAL SUB-ASSY,BRAKE","8708","2.05","",""
"47148-0K011","PIN, PEDAL W/WASHER","8708","2.73","",""
"47200-02700","CYLINDER S-A  MASTER","8708","194.70","",""
"47200-0K460","CYLINDER ASSY, BRAKE","8708","155.80","",""
"47201-09220","CYLINDER SET, BRAKE","8708","67.78","",""
"47201-09540","CYLINDER SUB-ASSY,BR","8708","251.04","",""
"47201-09610","CYLINDER SUB-ASSY,","8708","64.94","",""
"47201-09620","CYLINDER SUB-ASSY,","8708","64.94","",""
"47201-0K020","CYLINDER SUB-ASSY, B","8708","216.73","",""
"47201-0K080","CYLINDER SUB-ASSY,","8708","84.85","",""
"47201-0K350","CYLINDER BRAKE","8708","67.28","",""
"47201-0K670","CYLINDER BRAKE","8708","83.85","",""
"47201-12C10","CYLINDER SUB-ASSY, B","8708","249.18","",""
"47201-1A340","CYLINDER SUB-ASSY,","8708","297.23","",""
"47201-33390","CYLINDER SUB-ASSY,","8708","239.37","",""
"47201-38042","CYLINDER SUB-ASSY,","8708","383.97","",""
"47207-26010","CYLINDER,SUB ASSY","8708","171.45","",""
"47220-09080","RESERVOIR SET, MASTE","8708","31.03","",""
"47220-09130","RESERVOIR ASSY,MASTE","8708","72.75","",""
"47220-09150","RESERVOIR ASSY, MAST","8708","37.01","",""
"47220-0K220","RESERVOIR ASSY","8708","14.93","",""
"47230-02180","CAP ASY BRK MSTR CYL","8708","3.31","",""
"47230-02220","CAP,ASSY RESERVOIR","8708","29.14","",""
"47230-0D140","CAP ASSY, RESERVOIR","8708","1.59","",""
"47230-0D221","CAP ASSY RESERVOIR","8708","13.53","",""
