S. No.,Part No.,Description,USD Price,,
4444,3C0807177,GUIDE,11.36,,
4445,3C0807178,BRACKET (PLASTIC),11.36,,
4446,6V6955425,"WIPER BLADE 16""",11.36,,
4447,6V9955425,"WIPER BLADE 16""",11.36,,
4448,3AA807177,GUIDE,11.36,,
4449,6R0971858G,RETAINING PLATE,11.36,,
4450,6U0959481E,"TEMPERATURE SWITCH, RADIATOR FAN",11.38,,
4451,036121054B,RADIATOR HOSE,11.38,,
4452,6X0253147,"HOLDING BRACKET, SILENCER",11.39,,
4453,03F253041R,DEFL PLATE,11.39,,
4454,3C4867895,MOUNTING,11.39,,
4455,012311123D,"BEARING, MANUAL TRANSMISSION",11.39,,
4456,1KM087013A6J1,KEY TAG,11.39,,
4457,6R4837879GRU,CAP,11.41,,
4458,1K0721169,MOUNTING,11.41,,
4459,5NA807049A,PIECE,11.42,,
4460,5NA807050A,PIECE,11.42,,
4461,59115562,FILTER,11.44,,
4462,021115562A,OIL FILTER,11.44,,
4463,078115561J,OIL FILTER,11.44,,
4464,6RF898661,1 SET AIR GUIDE GRILLE,11.44,,
4465,6RG898665E,1 SET AIR GUIDE GRILLE,11.44,,
4466,6RG898665G,1 SET AIR GUIDE GRILLE,11.44,,
4467,6RG8374775AP,SEAL,11.44,,
4468,6RG8394775AP,SEAL,11.44,,
4469,6RF863319A95T,CENTRE CONSOLE COMPARTMENT,11.44,,
4470,02T945415K,"SWITCH, REVERSE LIGHT",11.45,,
4471,030103493M,"HOSE, CRANKCASE BREATHER",11.47,,
4472,028145271L,V-BELT,11.49,,
4473,01E141721A,SPRING,11.49,,
4474,059117070B,GASKET,11.50,,
4475,3C0825968,COVER,11.52,,
4476,028903137E,V-BELT,11.52,,
4477,6RG121283A,"AIR GUIDE, LEFT",11.52,,
4478,6RG121284A,"AIR GUIDE, RIGHT",11.52,,
4479,1K2260113D,PIPE,11.52,,
4480,6RU881318B47H,SEAT FRAME TRIM,11.52,,
4481,6R0971858J,RETAINING PLATE,11.53,,
4482,6RG863680C82V,"CENTRE CONSOLE, UPPER PART",11.53,,
4483,3C0121447BF,HOSE,11.53,,
4484,1K0511327BA,MOUNTING,11.53,,
4485,3C0955109CGRU,CAP,11.55,,
4486,3C0955110CGRU,CAP,11.55,,
4487,5011346,SHOCK ABSORBER,11.56,,
4488,6RU201294,FUEL LINE,11.56,,
4489,022906102B,CAP,11.56,,
4490,02M311113,"SHAFT SEAL, MANUAL TRANSMISSION",11.58,,
4491,6RU898665,1 SET AIR GUIDE GRILLE,11.58,,
4492,01L927137,PLATE,11.58,,
4493,6RU201293,FUEL LINE,11.58,,
4494,6RG898665A,"1 SET AIR GUIDE GRILLE, RIGHT",11.58,,
4495,6RU898665A,1 SET AIR GUIDE GRILLE,11.58,,
4496,06A145541J,BANJO BOLT,11.59,,
4497,6RF614740F,BRAKE PIPE FROM BRAKE MASTERCYLINDER TO HYDRAULICS,11.59,,
4498,6X0807049B,BRACKET; BUMPER,11.59,,
4499,000979221EA,WIRES,11.61,,
4500,6RF863680C5BW,"CENTRE CONSOLE, UPPER PART",11.61,,
4501,3C0837279A,UNDERLAY,11.61,,
4502,3C0122291A,COUPLPIECE,11.61,,
4503,979040,RECEPTACLE HOUSING,11.63,,
4504,6RF122157H,COOLANT HOSE WITHQUICK RELEASE COUPLING,11.63,,
4505,5N0121284,GUIDE,11.64,,
4506,023253363A,"HOLDER, EXHAUST SYSTEM",11.64,,
4507,5N0121283A,GUIDE,11.64,,
4508,6U0941733A,"SWITCH, REAR FOG LIGHT",11.64,,
4509,5N0121070M,PIPE,11.64,,
4510,032105701C,BIG END BEARINGS,11.66,,
4511,5C6881606B95T,HANDLE,11.66,,
4512,03L131547C,GASKET,11.67,,
4513,1J0919133A,WASHER,11.67,,
4514,7H5959577A,ADJUSTER,11.67,,
4515,3C0837033,PLATE,11.69,,
4516,6RU809696,REINFORCE FOR LOWER SIDE MEM,11.69,,
4517,6U0941733,"SWITCH, FOG LIGHT",11.70,,
4518,6U0955532H,"RELAY, WIPE-/WASH INTERVAL",11.70,,
4519,3B5853929H,CLAMP,11.70,,
4520,3B5853929J,CLAMP,11.70,,
4521,A0F06300004,GREASE,11.70,,
4522,6U0941503A,"SWITCH, HEADLIGHT",11.73,,
4523,1K0412303B,BUFFER,11.75,,
4524,00A103493A,"HOSE, CYLINDER HEAD COVER BREATHER",11.76,,
4525,022253039B,"GASKET, EXHAUST MANIFOLD",11.80,,
4526,6U1857521,OUTSIDE MIRROR,11.80,,
4527,6U1857522,OUTSIDE MIRROR,11.80,,
4528,6RF971693J,WIRING SET FOR DOOR,11.81,,
4529,6R0807241C9B9,COVER FOR TOWING EYE,11.81,,
4530,6R0807241BGRU,CORK PLASTIC,11.81,,
4531,6R0121447AL,COOLANT HOSE,11.81,,
4532,06A105637A,WASHER,11.83,,
4533,5N0121109D,HOSE,11.84,,
4534,5N0955633,HOLDER,11.86,,
4535,5N0955633A,HOLDER,11.86,,
4536,6RF711303A,BRAKE LEVER,11.86,,
4537,5N0861705A,BRACKET,11.86,,
4538,5N0861706A,BRACKET WASHER,11.86,,
4539,6RG853687739,NAME PLATE,11.86,,
4540,5C6853630ULM,VW SIGN,11.86,,
4541,7661992,COOLANT TUBE,11.86,,
4542,03P121157A,HOSE,11.86,,
4543,6R0122109D,COOLANT HOSE,11.86,,
4544,000979009EA,WIRES,11.87,,
4545,3C0825967,COVER,11.87,,
4546,5N0121447L,HOSE,11.87,,
4547,AOF06300004,GREASE,11.87,,
4548,6R0412341A,SPRING DISC,11.89,,
4549,6Q0698545A,SPRINGS,11.89,,
4550,6U0959481A,"TEMPERATURE SWITCH, RADIATOR FAN",11.89,,
4551,02T945415D,"SWITCH, REVERSE LIGHT",11.90,,
4552,1J0973703B,HOUSING,11.90,,
4553,6U0698471D,"REPAIR KIT, BRAKE CALIPER",11.90,,
4554,6R0853600AULM,VW SIGN,11.92,,
4555,6R0819703AFWMV,AIR VENT,11.92,,
4556,6R0819704AFWMV,AIR VENT,11.92,,
4557,6R0711951,GUIDE TUBE,11.94,,
4558,N90984401,STUD,11.94,,
4559,6R0711952,GUIDE TUBE,11.94,,
4560,6RF971694D,WIRING SET FOR DOOR,11.95,,
4561,5Q0129668B,INSERT,11.95,,
4562,03L129969A,SHIELD,11.95,,
4563,35416401,STARTER BATTERY,11.95,,
4564,03L129969AC,COVER,11.95,,
4565,028971501D,BRACKET DOOR,11.98,,
4566,028971501E,BRACKET DOOR,11.98,,
4567,02M911213,"BUSH, STARTER SHAFT",11.98,,
4568,26133593,"SENSOR, INTAKE MANIFOLD PRESSURE",12.00,,
4569,6U0955425B,WIPER BLADE,12.01,,
4570,6U0611701,BRAKE HOSE,12.01,,
4571,6U0611701B,BRAKE HOSE,12.01,,
4572,3C0819655A,GUIDE,12.03,,
4573,022971502BB,BRACKET FUN,12.03,,
4574,6C08684389B9,CAP,12.03,,
4575,N10130001,BULB,12.04,,
4576,01V321381,GASKET PAPER,12.04,,
4577,3BE813297,CLIP,12.04,,
4578,6U0945515A,BRAKE LIGHT SWITCH,12.04,,
4579,5N0614723B,HOSE. OIL FILTE,12.06,,
4580,03C115561B,OIL FILTER,12.07,,
4581,6RG857739QVZ,BUCKLE,12.09,,
4582,5E0837879A3FZ,CAP,12.09,,
4583,02A409136,SCREW,12.11,,
4584,6RF711265,GEAR SELECTOR CABLE,12.11,,
4585,101905601,SPARK PLUG,12.11,,
4586,1K0807889B,PIECE,12.11,,
4587,1K0807890B,PIECE,12.11,,
4588,3B4839879A3FZ,CAP,12.11,,
4589,030903137E,V-BELT,12.12,,
4590,G060726A2,TRANSM.OIL,12.14,,
4591,3C0121051Q,HOSE,12.14,,
4592,3C0121157AA,HOSE,12.14,,
4593,028109623B,SPRING,12.15,,
4594,026103485K,"CAP, OIL FILLER",12.15,,
4595,6RG885375D,"SEAT PADDING, LEFT",12.15,,
4596,6RF511115,COIL SPRING,12.17,,
4597,01V321381A,GASKET PAPER,12.17,,
4598,1J0973724,HOUSING,12.17,,
4599,06A973722,HOUSING,12.17,,
4600,357412303F,BUFFER,12.17,,
4601,1J0919309,SOCKET,12.18,,
4602,1K0919309,SOCKET,12.18,,
4603,000979244E,WIRE SET,12.18,,
4604,000979407E,WIRES,12.18,,
4605,016311113B,"SHAFT SEAL, MANUAL TRANSMISSION",12.18,,
4606,1J0973202,HOUSING,12.18,,
4607,6X0973802A,HOUSING,12.18,,
4608,023145271B,V-BELT,12.18,,
4609,5N0854856B,BODY PANEL; PLASTIC,12.18,,
4610,1J0973722A,HOUSING,12.18,,
4611,1K0122109AR,HOSE,12.18,,
4612,5N0807241GRU,CAP,12.18,,
4613,3C0854856C9B9,COVER,12.18,,
4614,5N0807241AGRU,CAP PLASTIC,12.18,,
4615,6R0807241AGRU,"SILENCING MATERIAL, ENGINE BAY",12.18,,
4616,6R0857601A9B9,COVER ASSY; HEAD LAMP,12.18,,
4617,6R0857602A9B9,COVER ASSY; DOOR HANDLE,12.18,,
4618,1H0412303B,BUFFER FRONT,12.18,,
4619,03D198819B,OIL FILTER POLO PETROL,12.20,,
4620,000979022E,WIRE SET,12.21,,
4621,06H103121J,GASKET,12.21,,
4622,02A409193,GUIDE FOR PINION,12.21,,
4623,6R0121447P,COOLANT HOSE,12.21,,
4624,6R0121447BB,WATER HOSE,12.21,,
4625,6RF819577A,TRIM,12.23,,
4626,6RG611741A,BRAKE LINE,12.23,,
4627,000979019EA,WIRES,12.25,,
4628,1J0998003,SET WIBLAD,12.25,,
4629,6R0122157AG,COOLANT HOSE WITHQUICK RELEASE COUPLING,12.25,,
4630,25101177,"O-RING, CYLINDER SLEEVE",12.26,,
4631,6RF201997,BREATHER LINE,12.26,,
4632,03F105701BGLB,BEARING,12.26,,
4633,1301209,"BUSH, SELECTOR-/GEAR LEVER",12.26,,
4634,113955975B,TPIECE,12.26,,
4635,02A911491,SCREW,12.28,,
4636,6RF121109C,COOLANT HOSE,12.29,,
4637,021115446A,"SEAL, OIL FILTER HOUSING",12.31,,
4638,030253039A,"GASKET, EXHAUST MANIFOLD",12.34,,
4639,6RG8374785AP,SEAL,12.34,,
4640,6RG86345982V,COVER FOR LOCK CARRIER,12.34,,
4641,6RW86345982V,COVER,12.34,,
4642,6RW863459A82V,COVER,12.34,,
4643,6RF407365,GUIDE JOINT,12.34,,
4644,6RF407366,GUIDE JOINT,12.34,,
4645,000979166EA,WIRES,12.35,,
4646,6R0721325,BEARING SHAFT,12.35,,
4647,5C6821111,PLATE,12.37,,
4648,5C6821112,PLATE,12.37,,
4649,026109173A,"COVER, TIMING BELT",12.37,,
4650,6RF885306,REAR SEAT FRAME,12.37,,
4651,026121144F,COOLANT FLANGE,12.37,,
4652,5Q0411315A,CONN LINK,12.40,,
4653,6U0253460A,"PIPE CONNECTOR, EXHAUST SYSTEM",12.42,,
4654,107905855S,CYLINDER,12.42,,
4655,6RF863459A82V,COVER FOR LOCK CARRIER,12.42,,
4656,6RU885775J,PADDING FOR BACKREST,12.42,,
4657,6RF012115A,TOOLBOX,12.43,,
4658,021129723G,BRACKET DOOR,12.43,,
4659,021129723K,BRACKET DOOR,12.43,,
4660,6RF86345982V,COVER,12.43,,
4661,025121058D,RADIATOR HOSE,12.43,,
4662,1U2998003,WIP. BLADE,12.45,,
4663,1J0513425,PIPE,12.45,,
4664,5N0810812,RETAINER,12.45,,
4665,1J6827439A,BALL PIN,12.45,,
4666,6U0721555C,ACCELERATOR CABLE,12.45,,
4667,06A121132C,FLANGE,12.45,,
4668,6RG8394785AP,SEAL,12.46,,
4669,5JA8076819B9,TRIM NEW RAPID FOG COVER,12.46,,
4670,5JA8076829B9,TRIM NEW RAPID FOG COVER,12.46,,
4671,1K0951253,RELAY,12.48,,
4672,6Q2820609,GROMMET,12.48,,
4673,3C0807889A,PIECE,12.48,,
4674,3C0807890A,"SUPPORT, BUMPER",12.48,,
4675,6U0721555A,ACCELERATOR CABLE,12.48,,
4676,6U0721555B,ACCELERATOR CABLE,12.48,,
4677,6U1721555A,ACCELERATOR CABLE; ACCELERATOR CABLE,12.48,,
4678,6U1721555B,ACCELERATOR CABLE; ACCELERATOR CABLE,12.48,,
4679,6U1721555C,ACCELERATOR CABLE,12.48,,
4680,6U2721555B,ACCELERATOR CABLE,12.48,,
4681,6U2721555C,ACCELERATOR CABLE,12.48,,
4682,6U2721555D,ACCELERATOR CABLE,12.48,,
4683,6U2721555E,ACCELERATOR CABLE,12.48,,
4684,000979019E,WIRE SET,12.49,,
4685,22903203,GASKET,12.49,,
4686,000979017E,WIRE SET,12.49,,
4687,000084501A084,CLOTH,12.49,,
4688,6RF817163,ROOF CROSS MEMBER,12.49,,
4689,02E305047A,HOUSING,12.49,,
4690,D176404A2,SEALANT,12.51,,
4691,5JF94509747H,BRAKELIGHT,12.51,,
4692,3C0121051P,HOSE,12.51,,
4693,3C0121101N,HOSE,12.51,,
4694,N10529501,BULB,12.52,,
4695,02T141170B,RELEASE BEARING WITH,12.52,,
4696,6RG827301,LID HINGE,12.54,,
4697,565831175,PROTECTIVE,12.54,,
4698,565831176,PROTECTIVE,12.54,,
4699,6RG614741,BRAKE PIPE FROM HYDRAULICS TO BRAKE HOSE,12.54,,
4700,035905309A,"SENSOR, IGNITION PULSE",12.54,,
4701,06H103517D,GASKET,12.54,,
4702,6RF863993B,SOUND ABSORBER FOR WATER BOX,12.54,,
4703,1J0201511A,FUELFILTER,12.56,,
4704,5J0601147JZ31,TRIM RINGS,12.56,,
4705,025121058G,RADIATOR HOSE,12.56,,
4706,D00920002,PRIMER,12.57,,
4707,6RG853671ARYP,VENT GRILLE,12.59,,
4708,6RG511115D,COIL SPRING,12.60,,
4709,020141073A,"COVER PLATE, RELEASER",12.60,,
4710,028115611C,OIL DIPSTICK,12.60,,
4711,6U0201511D,FUEL FILTER,12.60,,
4712,02K945415G,SWITCH FOR REVERSING LIGHT,12.62,,
4713,6RU863513,STOWAGE BOX,12.62,,
4714,5N0854856B9B9,BODY PANEL; PLASTIC,12.62,,
4715,034129717M,"GASKET, INTAKE MANIFOLD",12.63,,
4716,036129717K,"GASKET, INTAKE MANIFOLD HOUSING",12.63,,
4717,1J0919341A,SPRING PIN,12.63,,
4718,028919081D,OIL PRESSURE SWITCH,12.63,,
4719,5J5945258A,BULBHOLDER,12.63,,
4720,6R0611763,"BRAKE LINE FROM BRAKE HOSE TO WHEEL CYLINDER, LEFT REAR",12.63,,
4721,6U0953227,FLASHER UNIT,12.63,,
4722,028129969A,COVER,12.63,,
4723,03G115611AA,DIPSTICK,12.63,,
4724,035127301C,"GASKET, FUEL PUMP",12.63,,
4725,6RG823509J,BONNET LOCK - LOWER PART,12.65,,
4726,5J5823509B,LATCH,12.65,,
4727,3D0035210,HALTER,12.66,,
4728,3D0035209C,BRACKET,12.66,,
4729,6R0857465A82V,SPECTACLES HOLDER,12.66,,
4730,6RF857121C4K1,GLOVE COMPARTMENT LID,12.66,,
4731,03L131547B,SEAL,12.68,,
4732,03E103474C,HOSE,12.68,,
4733,5J5959858REH,SWITCH,12.68,,
4734,000071782E,PRIMER,12.68,,
4735,1J0412331B,SUSPENSION STRUT MOUNTING,12.71,,
4736,022109423B,ROCKER/ TAPPET,12.71,,
4737,6X0411313,"BEARING BUSH, STABILISER",12.74,,
4738,3C0820231,PROTECTIVE CAP,12.74,,
4739,3T0807241,SUPERB TRIM,12.74,,
4740,6X0411313A,STABILISER MOUNTING,12.74,,
4741,565955109GRU,COVER,12.74,,
4742,G052135A1,LUBR. OIL,12.76,,
4743,030919081B,OIL PRESSURE SWITCH,12.77,,
4744,5GV084300A530,CAP,12.77,,
4745,6R0121447A,HOSE,12.77,,
4746,6X0959502A,STRIP,12.79,,
4747,030115611R,OIL DIPSTICK,12.79,,
4748,032121121G,COOLANT FLANGE,12.79,,
4749,032121121K,COOLANT FLANGE,12.79,,
4750,036115611M,OIL DIPSTICK,12.79,,
4751,014311325C,BEARING NEEDLE,12.80,,
4752,025121058E,RADIATOR HOSE,12.80,,
4753,027121447A,RADIATOR HOSE,12.80,,
4754,357407182,RUBB MOUNT,12.82,,
4755,3B7601171XRW,CAP,12.82,,
4756,5N0839167BGRU,HOUSING,12.82,,
4757,6RF411105A,COIL SPRING,12.83,,
4758,04E103085AC,SEAL,12.83,,
4759,3C0253461AD,BRACKET,12.83,,
4760,N10320102,BULB,12.85,,
4761,6R0825748,GUARD PLATE FOR FUELPIPE,12.85,,
4762,3C0012116A,COVER,12.85,,
4763,5J5823509F,LATCH HOOD,12.85,,
4764,022253049AC,HALTER,12.85,,
4765,022253049AL,HALTER,12.85,,
4766,3B4867371A94,COVER,12.85,,
4767,3B486737275R,COVER,12.85,,
4768,3B4867372A94,COVER PLASTIC,12.85,,
4769,5J5823509C,LATCH,12.85,,
4770,6RF867911E5AP,DOOR SEAL,12.85,,
4771,1J0919133,WASHER,12.87,,
4772,5E08076819B9,COVER,12.88,,
4773,5E08076829B9,COVER,12.88,,
4774,028903237E,RING,12.91,,
4775,22133672,COVER,12.91,,
4776,6X0253144B,"HOLDING BRACKET, SILENCER",12.91,,
4777,021121058B,HOSE,12.91,,
4778,1J0253144J,BRACKET,12.93,,
4779,6RF971147B,ADAPTER CABLE LOOM,12.94,,
4780,021198491A,"MAIN BEARINGS, CRANKSHAFT",12.94,,
4781,023903137H,V-BELT,12.94,,
4782,025903137G,V-BELT,12.94,,
4783,6R0609721C,"CABLE, PARKING BRAKE",12.94,,
4784,02B911257G,"COLLECTOR END SHIELD BUSH, STARTER",12.94,,
4785,3C0805983,COVER,12.96,,
4786,1K0412303AA,BUFFER,12.99,,
4787,02K301266,CAP,13.02,,
4788,3C0819422,COVER,13.02,,
4789,5N0861821,BRACKET,13.02,,
4790,5N0861822,BRACKET STABILIZER,13.02,,
4791,6Q0512131B,BUMPER REAR POLO,13.02,,
4792,020301232E,COVER,13.02,,
4793,6RF711046B,GEARSHIFT LEVER,13.05,,
4794,6RF857121C82V,GLOVE COMPARTMENT LID,13.05,,
4795,6RG813088,SUPPORT PLATE,13.07,,
4796,012311718D,SCREW,13.08,,
4797,012311720D,SCREW,13.08,,
4798,5J6853687CKTP,NAME PLATE,13.08,,
4799,979159,WIRE SET,13.11,,
4800,5C6919493B,BRACKET,13.11,,
4801,5C6919494B,BRACKET,13.11,,
4802,6RU8536779B9,GRILLE,13.11,,
4803,000979205E,WIRE SET,13.13,,
4804,000979206E,WIRE SET,13.13,,
4805,5NA854855B,COVER,13.13,,
4806,6R0906507D,BRACKET FOR ELEC.CONTR. MODULE,13.13,,
4807,3C0122449G,HOSE,13.13,,
4808,6X0121051B,RADIATOR HOSE,13.13,,
4809,6RF121447E,COOLANT HOSE,13.13,,
4810,1K0122291C,COUPLPIECE,13.14,,
4811,6R0863447041,HOLDING STRAP,13.14,,
4812,020141165G,RELEASER,13.16,,
4813,6RV071BGRECO,RUBBER MAT SET BEIGE ECO-VENTO,13.16,,
4814,6RF614741A,BRAKE PIPE FROM HYDRAULICS TO BRAKE HOSE,13.16,,
4815,G004000M2,OIL,13.19,,
4816,6RF201294B,FUEL LINE,13.19,,
4817,022109423A,ROCKER/ TAPPET,13.19,,
4818,5J0867171A4K1,"HANDLE SHELL, UPPER PART ",13.19,,
4819,001323611B,BUSHING;,13.21,,
4820,000979025FA,WIRES,13.21,,
4821,5J5941701,FOG LAMP BLACK,13.21,,
4822,5J5941702,FOG LAMP BLACK,13.21,,
4823,0A4301427B,PIN,13.21,,
4824,1K0937629,FUSE,13.22,,
4825,028103059A,"OIL DRAIN PLUG, OIL PAN",13.22,,
4826,5JF857507,HOUSING,13.24,,
4827,5JF857508,HOUSING,13.24,,
4828,036035281A,"PLUG, SPARK PLUG",13.24,,
4829,5N0807241BGRU,CORK PLASTIC,13.24,,
4830,6RF122109,COOLANT HOSE,13.24,,
4831,25251261,"GASKET, EXHAUST PIPE",13.25,,
4832,03L963319C,GLOW PLUG,13.25,,
4833,030121056G,RADIATOR HOSE,13.25,,
4834,036103085C,"SHAFT SEAL, CRANKSHAFT",13.27,,
4835,45115611,DIPSTICK,13.27,,
4836,03P115611,DIPSTICK POLO,13.27,,
4837,04L115611,DIPSTICK,13.27,,
4838,03E115611D,DIPSTICK,13.27,,
4839,03L115611H,DIPSTICK,13.27,,
4840,03F115611E,DIPSTICK,13.27,,
4841,03L115611T,DIPSTICK,13.27,,
4842,06F115611A,DIPSTICK,13.27,,
4843,03C115611AA,DIPSTICK,13.27,,
4844,027121056A,RADIATOR HOSE,13.27,,
4845,030121054P,RADIATOR HOSE,13.27,,
4846,032121054A,RADIATOR HOSE,13.27,,
4847,6RU698471,SET OF GASKETS FOR BRAKE CALIPER HOUSING,13.28,,
4848,301252,"BRAKE PAD SET, DISC BRAKE",13.28,,
4849,301485,EXHAUST PIPE,13.28,,
4850,8V0698647,BUSHING,13.28,,
4851,6RF201293D,FUEL LINE,13.28,,
4852,5JF951101A,HORN,13.28,,
4853,6R0609721E,"CABLE, PARKING BRAKE",13.28,,
4854,6RU698647A,BUSHING CALIPER PIN,13.28,,
4855,1K0122447HC,HOSE,13.30,,
4856,6RF959857B9B9,SWITCH,13.30,,
4857,09G301159,COVER PLATE,13.31,,
4858,6Q0711067A,BUSHING,13.31,,
4859,6R0810121A,PLATE,13.31,,
4860,6R0810122A,PLATE,13.31,,
4861,6RG885305C,REAR SEAT FRAME,13.31,,
4862,022253050C,"GASKET, EXHAUST MANIFOLD",13.33,,
4863,3B9955985A,WATER JET,13.33,,
4864,7E5941607A,CAP,13.35,,
4865,6R2819702B82V,AIR VENT FOR DOORWINDOW,13.35,,
4866,6R0819703AMVAL,AIR VENT,13.35,,
4867,02A141728,GASKET BOOT,13.36,,
4868,028903193Q,"PROTECTIVE CAP, ALTERNATOR",13.36,,
4869,5E0121284C,AIR DUCT,13.36,,
4870,6RU941607,COVER CAP,13.38,,
4871,1K0122291H,COUPLPIECE,13.38,,
4872,6R0411105P,COIL SPRING,13.39,,
4873,85398008,RING,13.39,,
4874,6R7614741A,BRAKE PIPE FROM HYDRAULICS TO BRAKE HOSE,13.39,,
4875,6R0071PLWBRZ,PILLOW BREEZE,13.39,,
4876,6R0857506AEH6,COVER FOR FUSE HOLDER,13.39,,
4877,022103484F,"GASKET, CYLINDER HEAD COVER",13.41,,
4878,021121121D,COOLANT FLANGE,13.41,,
4879,000084340C528,GLOVES,13.41,,
4880,036103493N,OIL HOSE,13.41,,
4881,3C0611775A,BRAKE HOSE,13.41,,
4882,02T301427G,PIN,13.41,,
4883,6R0122447AE,WATER HOSE,13.41,,
4884,1K0823707A,WTHRSTRIP,13.42,,
4885,6U0949101A,INDICATOR,13.42,,
4886,6RF857121AEH6,LID,13.42,,
4887,06B103485C,COVER,13.44,,
4888,6RF867605A1BS,REAR LID TRIM PANEL,13.44,,
4889,3C0121101R,HOSE,13.47,,
4890,06C103485P,COVER,13.47,,
4891,3C0121096AE,HOSE,13.47,,
4892,3C0122447AJ,RADIATOR HOSE,13.47,,
4893,020311108A,"SEAL, DRIVE SHAFT",13.49,,
4894,6RF145838,CONNECTING HOSE,13.49,,
4895,6RG867255A9B9,TRIM FOR SWITCH,13.50,,
4896,3C0837880AGRU,CAP,13.50,,
4897,3C0837879AGRU,CAP,13.50,,
4898,6R0121059B,COOLANT HOSE,13.50,,
4899,6R0121056J,COOLANT HOSE,13.50,,
4900,6R0121059C,COOLANT HOSE,13.50,,
4901,1S0909991,BOLTS,13.52,,
4902,5Q0011221,CRANK ARM,13.52,,
4903,028145271K,V-BELT,13.53,,
4904,1K0122073GF,WATER HOSE,13.53,,
4905,6RU881901FR6,"HEAD RESTRAINT WITH COVER, ADJUSTABLE (CLOTH)",13.53,,
4906,5J5945257,BULB HOLDER RAPID LH,13.55,,
4907,5J5945258,BULB HOLDER RAPID RH,13.55,,
4908,021133227J,"GASKET, INTAKE MANIFOLD",13.55,,
4909,00A919081,OIL PRESSURE SWITCH,13.56,,
4910,6RF511115B,COIL SPRING,13.56,,
4911,1K0820746,GRILL,13.56,,
4912,3C0858687B,BRACKET STABILIZER,13.56,,
4913,3C0858687C,BRACKET WASHER,13.56,,
4914,6RF863993A,SOUND ABSORBER FOR WATER BOX,13.56,,
4915,6RF411105B,COIL SPRING,13.58,,
4916,6R4839915E,COVER FOR DOOR INNER PANEL,13.58,,
4917,6RF963553,INLAY FOR SEAT OCCUPIEDSENSOR,13.58,,
4918,6R0857506A95T,COVER FOR FUSE HOLDER,13.59,,
4919,6RU915331,BRACKET,13.62,,
4920,6RF614740D,BRAKE LINE,13.62,,
4921,01A409400B,"SHAFT SEAL, DIFFERENTIAL",13.64,,
4922,027129717D,"GASKET, INTAKE MANIFOLD",13.64,,
4923,3C0121283D,GUIDE,13.64,,
4924,3C0121284D,GUIDE,13.64,,
4925,6R0122101AS,COOLANT HOSE,13.64,,
4926,5E5945105,REFLECTOR,13.66,,
4927,5E5945106,REFLECTOR,13.66,,
4928,3B0122291B,COUPLPIECE,13.66,,
4929,6RF857121A95T,LID,13.66,,
4930,032105707D,BIG END BEARINGS,13.67,,
4931,5C6919494A,BRACKET,13.67,,
4932,6R0819703RVAL,"AIR VENT, LEFT",13.67,,
4933,6R0819704RVAL,"AIR VENT, RIGHT",13.67,,
4934,271330521,"CONTROL VALVE, FUEL PRESSURE",13.69,,
4935,6R0819704QWMV,"AIR VENT, RIGHT",13.69,,
4936,3C0121283,GUIDE,13.70,,
4937,3C0121283B,SHROUD_UPPER,13.70,,
4938,3C0121284B,GUIDE,13.70,,
4939,030105701Q,BIG END BEARINGS,13.72,,
4940,6RG853675A739,NAME PLATE,13.72,,
4941,6RF501546,BRACKET,13.75,,
4942,6R0615312,COVER PLATE FOR BRAKE DISC,13.75,,
4943,6RF951182F,RETAINER FOR SIGNAL HORN,13.75,,
4944,1K0412303E,BUFFER,13.75,,
4945,000979031EA,WIRES,13.76,,
4946,N0177637,BULB,13.78,,
4947,000979020E,WIRE SET,13.78,,
4948,000979134E,WIRE SET,13.78,,
4949,000979129E,WIRE SET,13.78,,
4950,000979021EA,WIRES,13.78,,
4951,000979134EA,WIRES,13.78,,
4952,000979041E,WIRE SET,13.78,,
4953,6RU809695A,REINFORCE FOR LOWER SIDE MEM,13.81,,
4954,6RU809696A,REINFORCE FOR LOWER SIDE MEM,13.81,,
4955,6RF201997A,BREATHER LINE,13.81,,
4956,1K0129618BK,AIR DUCT,13.81,,
4957,1K0129618BQ,AIR DUCT,13.81,,
4958,357853999A,CORD,13.84,,
4959,6RG853675A,NAME PLATE,13.86,,
4960,03D103647C,COVERPLATE,13.86,,
4961,6R0122447B,COOLANT HOSE,13.86,,
4962,032253039B,"GASKET SET, EXHAUST MANIFOLD",13.87,,
4963,3B9827531A,CABLE,13.89,,
4964,000979136E,WIRE SET,13.90,,
4965,565907699,RETAINER,13.90,,
4966,6Q0907269G,PROTECTIVE FRAME,13.90,,
4967,6U7609721,"CABLE, PARKING BRAKE",13.93,,
4968,6R0819703QWMV,"AIR VENT, LEFT",13.93,,
4969,5N0121447N,HOSE,13.93,,
4970,6RU809857,FUEL FILLER FLAP,13.95,,
4971,6RW810348,"SIDE PANEL, INNER",13.95,,
4972,6RU825701B,PLATE,13.95,,
4973,21121096,RADIATOR HOSE,13.95,,
4974,021121058A,RADIATOR HOSE,13.95,,
4975,6C0998607A,CAP,13.97,,
4976,6RF819453,CENTRAL FLAP POSITIONING MOTOR,13.98,,
4977,6RG898665D,1 SET AIR GUIDE GRILLE,13.98,,
4978,4FD951223,HORN,14.00,,
4979,6R0951217A,BRACKET,14.00,,
4980,6R0857506A82V,COVER FOR FUSE HOLDER,14.00,,
4981,1K0121051AA,HOSE,14.00,,
4982,05L109521,LASHADJUST,14.01,,
